"","ID","circl_binary","circl_sum","reviews_binary","reviews_sum","canonisation_score","class"
"214","DIE_DREI_GERECHTEN_KAMMMACHER_Q1218123",0,0,0,0,0.259978377605495,"No Review & No Catalogue"
"215","DIE_DREI_NUESSE_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"216","DIE_ELFEN_(LUDWIG_TIECK)_Q1169906",1,1,0,0,0.0645339993923284,"No Review, Catalogue"
"217","DIE_ELIXIERE_DES_TEUFELS_Q600849",1,3,0,0,0.481513882543301,"No Review, Catalogue"
"218","DIE_ENTFUEHRUNG_noWikiID",0,0,0,0,0.0645339993923284,"No Review & No Catalogue"
"219","DIE_EPIGONEN_noWikiID",1,1,1,1,0.175635939901511,"Review & Catalogue"
"220","DIE_ERMORDUNG_EINER_BUTTERBLUME_Q1212233",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"221","DIE_EUROPAMUEDEN_noWikiID",0,0,0,0,0.0221068485323305,"No Review & No Catalogue"
"222","DIE_FAMILIE_noWikiID",1,1,0,0,0.0645339993923284,"No Review, Catalogue"
"223","DIE_FAMILIE_SELDORF_Q977237",0,0,1,1,0.0237824899093644,"Review, No Catalogue"
"224","DIE_FAMILIE_WOREL_Q1212318",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"225","DIE_FERMATE_noWikiID",0,0,0,0,0.259978377605495,"No Review & No Catalogue"
"226","DIE_FLUSSPIRATEN_DES_MISSISSIPPI_Q1212508",1,2,0,0,0.0560723413501725,"No Review, Catalogue"
"227","DIE_FRAU_PROFESSORIN_noWikiID",1,3,0,0,0.0221068485323305,"No Review, Catalogue"
"228","DIE_FREIHERREN_VON_GEMPERLEIN_noWikiID",1,1,0,0,0.0560723413501725,"No Review, Catalogue"
"229","DIE_FREUNDE_(LUDWIG_TIECK)_Q1212755",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"230","DIE_GEIER-WALLY_(ROMAN)_Q1212872",1,1,0,0,0.0237824899093644,"No Review, Catalogue"
"231","DIE_GEIGERIN_Q1212876",1,1,1,1,0.0560723413501725,"Review & Catalogue"
"232","DIE_GESCHICHTE_DER_ANNA_WASER_noWikiID",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"233","DIE_GLUECKLICHE_REISE_noWikiID",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"234","DIE_GLUECKSRITTER_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"235","DIE_GOETTINNEN_ODER_DIE_DREI_ROMANE_DER_HERZOGIN_VON_ASSY_Q1213243",0,0,0,0,0.0221068485323305,"No Review & No Catalogue"
"236","DIE_GOLDENE_SCHMIEDE_noWikiID",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"237","DIE_GUENDERODE_noWikiID",0,0,0,0,0.0741722353260478,"No Review & No Catalogue"
"238","DIE_GUTE_SCHULE_noWikiID",1,1,1,1,0.0221068485323305,"Review & Catalogue"
"239","DIE_HANNA_noWikiID",1,1,0,0,0.0205467828522686,"No Review, Catalogue"
"240","DIE_HEILIGE_CAECILIE_ODER_DIE_GEWALT_DER_MUSIK_Q302229",1,1,0,0,0.0560723413501725,"No Review, Catalogue"
"241","DIE_HOCHZEIT_DES_MOENCHS_Q1213463",1,1,1,1,0.135719851904178,"Review & Catalogue"
"242","DIE_HOSEN_DES_HERRN_VON_BREDOW_noWikiID",1,2,0,0,0.0205467828522686,"No Review, Catalogue"
"243","DIE_INNERSTE_Q1213605",0,0,0,0,0.0691979459011065,"No Review & No Catalogue"
"244","DIE_INSEL_FELSENBURG_Q1664415",0,0,0,0,0.0799133785582656,"No Review & No Catalogue"
"245","DIE_JUDEN_VON_BARNOW_Q57166842",1,1,0,0,0.0601640846066759,"No Review, Catalogue"
"246","DIE_JUDENBUCHE_Q1213685",0,0,0,0,0.481513882543301,"No Review & No Catalogue"
"247","DIE_KAESEREI_IN_DER_VEHFREUDE_noWikiID",1,2,0,0,0.0645339993923284,"No Review, Catalogue"
"248","DIE_KINDER_VON_FINKENRODE_Q1213860",1,1,0,0,0.0601640846066759,"No Review, Catalogue"
"249","DIE_KLEINE_STADT_Q1218726",0,0,0,0,0.0221068485323305,"No Review & No Catalogue"
"250","DIE_KLUGEN_JUNGFRAUEN_noWikiID",1,1,0,0,0.0205467828522686,"No Review, Catalogue"
"251","DIE_KOENIGSBRAUT_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"252","DIE_KRONENWAECHTER_Q1214104",0,0,1,1,0.111487571538697,"Review, No Catalogue"
"253","DIE_LEHRLINGE_ZU_SAIS_Q1214361",0,0,0,0,0.500199736105852,"No Review & No Catalogue"
"254","DIE_LEIDEN_DES_JUNGEN_WERTHERS_Q151883",1,5,1,3,0.999997205037213,"Review & Catalogue"
"255","DIE_LETZTE_RECKENBURGERIN_noWikiID",1,1,0,0,0.0205467828522686,"No Review, Catalogue"
"256","DIE_LEUTE_AUS_DEM_WALDE_Q1214404",0,0,0,0,0.0645339993923284,"No Review & No Catalogue"
"257","DIE_LEUTE_VOM_BLAUEN_GUGUCKHAUS_noWikiID",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"258","DIE_LEUTE_VON_SELDWYLA_Q936322",1,2,0,0,0.897461864857794,"No Review, Catalogue"
"259","DIE_LIEBENSWUERDIGE_ADALIE_noWikiID",0,0,0,0,0.0221068485323305,"No Review & No Catalogue"
"260","DIE_MAEDCHENFEINDE_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"261","DIE_MAJORATSHERREN_Q1214690",0,0,0,0,0.0691979459011065,"No Review & No Catalogue"
"262","DIE_MANDANEN-WAISE_noWikiID",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"263","DIE_MARZIPANLIESE_Q1214732",0,0,0,0,0.0221068485323305,"No Review & No Catalogue"
"264","DIE_MEHREREN_WEHMUELLER_noWikiID",0,0,1,2,0.0560723413501725,"Review, No Catalogue"
"265","DIE_MOLKENKUR_noWikiID",0,0,1,1,0.0221068485323305,"Review, No Catalogue"
"266","DIE_NACHBARN_noWikiID",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"267","DIE_NAECHTE_TINO_VON_BAGDADS_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"268","DIE_NARRENBURG_Q21328513",1,1,0,0,0.0601640846066759,"No Review, Catalogue"
"269","DIE_NIHILISTEN_noWikiID",1,1,0,0,0.0851189742374057,"No Review, Catalogue"
"270","DIE_PFRUENDER_noWikiID",0,0,0,0,0.0741722353260478,"No Review & No Catalogue"
"271","DIE_POGGENPUHLS_Q1215465",1,1,1,2,0.305392408053958,"Review & Catalogue"
"272","DIE_RICHTERIN_(NOVELLE)_Q1215781",1,1,0,0,0.372234887656701,"No Review, Catalogue"
"273","DIE_RITTER_VOM_GEISTE_noWikiID",1,3,0,0,0.0975111340573339,"No Review, Catalogue"
"274","DIE_ROSE_VON_DISENTIS_noWikiID",1,1,0,0,0.0205467828522686,"No Review, Catalogue"
"275","DIE_SCHRIFTEN_DES_WALDSCHULMEISTERS_Q56071834",1,1,1,1,0.0560723413501725,"Review & Catalogue"
"276","DIE_SCHWARZE_GALEERE_noWikiID",0,0,0,0,0.305392408053958,"No Review & No Catalogue"
"277","DIE_SCHWARZE_SPINNE_(NOVELLE)_Q502598",1,1,1,1,0.321481356814517,"Review & Catalogue"
"278","DIE_SERAPIONSBRUEDER_Q321013",1,2,1,1,0.235356216581709,"Review & Catalogue"
"279","DIE_SOEHNE_DES_SENATORS_Q1216642",0,0,1,1,0.0601640846066759,"Review, No Catalogue"
"280","DIE_STEINKLOPFER_Q1216451",1,1,1,1,0.0560723413501725,"Review & Catalogue"
"281","DIE_TOTEN_SCHWEIGEN_Q1216835",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"282","DIE_VERLOBUNG_IN_ST._DOMINGO_noWikiID",1,1,1,1,0.274620702296579,"Review & Catalogue"
"283","DIE_VERLORENE_HANDSCHRIFT_noWikiID",1,1,0,0,0.0601640846066759,"No Review, Catalogue"
"284","DIE_VERSUCHUNG_DES_PESCARA_Q1217221",1,1,1,2,0.372234887656701,"Review & Catalogue"
"285","DIE_VERWANDLUNG_Q184222",0,0,0,0,0.289764790109877,"No Review & No Catalogue"
"286","DIE_VERWIRRUNGEN_DES_ZOEGLINGS_TOERLESS_Q1112285",0,0,0,0,0.305392408053958,"No Review & No Catalogue"
"287","DIE_WAFFEN_NIEDER_Q212687",1,1,1,1,0.0205467828522686,"Review & Catalogue"
"288","DIE_WAHLVERWANDTSCHAFTEN_Q951198",1,5,1,2,0.33800545810469,"Review & Catalogue"
"289","DIE_WASSERNOT_IM_EMMENTAL_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"290","DIE_WEISE_VON_LIEBE_UND_TOD_DES_CORNETS_CHRISTOPH_RILKE_Q18209936",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"291","DIE_WIEDERTAEUFER_noWikiID",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"292","DIE_WISKOTTENS_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"293","DIE_ZAUBEREI_IM_HERBSTE_Q1217663",0,0,0,0,0.0645339993923284,"No Review & No Catalogue"
"294","DIE_ZWEITE_FRAU_noWikiID",1,1,0,0,0.0205467828522686,"No Review, Catalogue"
"295","DIE_ZWOELF_APOSTEL_noWikiID",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"296","DIES_BUCH_GEHOERT_DEM_KOENIG_noWikiID",1,1,0,0,0.0741722353260478,"No Review, Catalogue"
"297","DON_JUAN_VON_KOLOMEA_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"298","DORFGAENGE_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"299","DRAUSSEN_IM_HEIDEDORF_Q84314019",1,1,0,0,0.0691979459011065,"No Review, Catalogue"
"300","DREI_FEDERN_Q1256990",1,1,0,0,0.0560723413501725,"No Review, Catalogue"
"301","DSCHINNISTAN_Q1262121",1,2,0,0,0.0645339993923284,"No Review, Catalogue"
"302","EDUARD_ALLWILLS_PAPIEREN_noWikiID",1,2,0,0,0.0205467828522686,"No Review, Catalogue"
"303","EEKENHOF_noWikiID",0,0,0,0,0.0691979459011065,"No Review & No Catalogue"
"304","EFFI_BRIEST_Q1296168",0,0,1,2,0.848215508034503,"Review, No Catalogue"
"305","EIGENSINN_UND_LAUNE_noWikiID",0,0,0,0,0.0601640846066759,"No Review & No Catalogue"
"306","EIN_ABSCHIED_Q1304285",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"307","EIN_BEKENNTNIS_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"308","EIN_BRIEF_(HOFMANNSTHAL)_Q1304342",0,0,1,1,0.144732511897424,"Review, No Catalogue"
"309","EIN_DOPPELGAENGER_Q19188654",1,1,0,0,0.321481356814517,"No Review, Catalogue"
"310","EIN_FEST_AUF_HADERSLEVHUUS_noWikiID",1,1,0,0,0.0645339993923284,"No Review, Catalogue"
"311","EIN_GRUENES_BLATT_Q111150981",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"312","EIN_KAMPF_UM_ROM_Q636812",1,1,1,1,0.0367536016133564,"Review & Catalogue"
"313","EIN_KAMPF_UMS_RECHT_Q95606786",1,1,1,2,0.0560723413501725,"Review & Catalogue"
"314","EIN_WORT_noWikiID",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"315","EINE_AEGYPTISCHE_KOENIGSTOCHTER_noWikiID",0,0,1,1,0.0205467828522686,"Review, No Catalogue"
"316","EINE_AUSSCHWEIFUNG_noWikiID",1,1,0,0,0.0645339993923284,"No Review, Catalogue"
"317","EINE_GESCHICHTE_AUS_DEM_BREGENZERWALDE_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"318","EINE_MALERARBEIT_noWikiID",0,0,0,0,0.0601640846066759,"No Review & No Catalogue"
"319","EINE_STUNDE_HINTER_MITTERNACHT_Q1306645",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"320","EKKEHARD_noWikiID",1,2,1,1,0.0275134422375932,"Review & Catalogue"
"321","ELEAGABAL_KUPERUS_noWikiID",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"322","ELISA_ODER_DAS_WEIB_WIE_ES_SEYN_SOLLTE_noWikiID",1,3,1,2,0.0205467828522686,"Review & Catalogue"
"323","ELLEN_VON_DER_WEIDEN_noWikiID",1,1,0,0,0.0221068485323305,"No Review, Catalogue"
"324","ELLERNKLIPP_Q1332021",1,1,1,2,0.0645339993923284,"Review & Catalogue"
"325","ELSE_VON_DER_TANNE_Q1333755",0,0,0,0,0.0645339993923284,"No Review & No Catalogue"
"326","ELSI,_DIE_SELTSAME_MAGD_Q1333830",0,0,0,0,0.305392408053958,"No Review & No Catalogue"
"327","ERINNERUNGEN_VON_LUDOLF_URSLEU_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"328","ESCH_ODER_DIE_ANARCHIE_noWikiID",0,0,0,0,0.0601640846066759,"No Review & No Catalogue"
"329","EVREMONT_noWikiID",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"330","FAUSTS_LEBEN,_THATEN_UND_HOELLENFAHRT_Q1368395",1,2,1,1,0.274620702296579,"Review & Catalogue"
"331","FELICITAS_noWikiID",0,0,0,0,0.0237824899093644,"No Review & No Catalogue"
"332","FLEGELJAHRE_Q1299976",1,3,0,0,0.289764790109877,"No Review, Catalogue"
"333","FLORENTIN_noWikiID",0,0,0,0,0.291000461924749,"No Review & No Catalogue"
"334","FLORENTINISCHE_NAECHTE_noWikiID",0,0,0,0,0.259978377605495,"No Review & No Catalogue"
"335","FRAGMENT_EINES_ROMANS_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"336","FRANZ_STERNBALDS_WANDERUNGEN_Q1449176",1,2,0,0,0.725697489186951,"No Review, Catalogue"
"337","FRAU_BEATE_UND_IHR_SOHN_Q1451452",0,0,0,0,0.0741722353260478,"No Review & No Catalogue"
"338","FRAU_BERTHA_GARLAN_Q1451457",1,1,0,0,0.259978377605495,"No Review, Catalogue"
"339","FRAU_JENNY_TREIBEL_Q351933",1,1,1,1,0.481513882543301,"Review & Catalogue"
"340","FRAU_SORGE_noWikiID",0,0,0,0,0.0205467828522686,"No Review & No Catalogue"
"341","FRAU_VON_SAVERNE_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"342","FREIGEBOREN_noWikiID",1,1,1,1,0.0205467828522686,"Review & Catalogue"
"343","FREIHEIT_DIE_ICH_MEINE_noWikiID",0,0,0,0,0.0221068485323305,"No Review & No Catalogue"
"344","FREUDEN_DES_JUNGEN_WERTHERS_Q1455757",1,1,1,2,0.0221068485323305,"Review & Catalogue"
"345","FRIDOLIN_UND_SEIN_GLUECK_noWikiID",0,0,0,0,0.0560723413501725,"No Review & No Catalogue"
"346","FRUEHLING_noWikiID",0,0,0,0,0.0741722353260478,"No Review & No Catalogue"
"347","GABRIELE_noWikiID",1,2,0,0,0.0205467828522686,"No Review, Catalogue"
