,Year,Score Range,mean,std
71,-15,High (0.5-1.0),0.7679162601303989,0.09550170712256051
72,-14,Low (0-0.5),0.7341580979263209,0.12003770462419201
73,-14,High (0.5-1.0),0.7715370318856691,0.09694752890155954
74,-13,Low (0-0.5),0.7382125957592648,0.11593940689889772
75,-13,High (0.5-1.0),0.7730669117139691,0.09885327872174843
76,-12,Low (0-0.5),0.7425445730340191,0.11360882603778878
77,-12,High (0.5-1.0),0.7852766291970633,0.08627864650961367
78,-11,Low (0-0.5),0.7441663285670257,0.11323505662837044
79,-11,High (0.5-1.0),0.7880137972843027,0.08601880523290992
80,-10,Low (0-0.5),0.7460394670720985,0.11367151121728758
81,-10,High (0.5-1.0),0.7906420851406016,0.09025540213822175
82,-9,Low (0-0.5),0.7484688403686981,0.11462677189453549
83,-9,High (0.5-1.0),0.7957180711189916,0.08938903431147703
84,-8,Low (0-0.5),0.7512760366017547,0.11272557170652353
85,-8,High (0.5-1.0),0.7975364136803403,0.09408477462515635
86,-7,Low (0-0.5),0.7542245257779582,0.11181409524258715
87,-7,High (0.5-1.0),0.8027341434457657,0.09097039868393052
88,-6,Low (0-0.5),0.7578456399373664,0.11056880106912778
89,-6,High (0.5-1.0),0.8068125467601281,0.09195610522204103
90,-5,Low (0-0.5),0.7614177704568031,0.1089767827528762
91,-5,High (0.5-1.0),0.8111668144524672,0.0921747910453981
92,-4,Low (0-0.5),0.7730751540133558,0.11007296622451154
93,-4,High (0.5-1.0),0.8352047472188249,0.07130433127843712
94,-3,Low (0-0.5),0.7750448589531664,0.10957044719080464
95,-3,High (0.5-1.0),0.8371580151594996,0.07068352441218066
96,-2,Low (0-0.5),0.7757904685536736,0.10958793954403304
97,-2,High (0.5-1.0),0.8359631110359832,0.07133522213157721
98,-1,Low (0-0.5),0.7773774049649195,0.10959196447239275
99,-1,High (0.5-1.0),0.8359899519940572,0.07110804368082319
100,0,Low (0-0.5),0.7771978835036625,0.11026473637551672
101,0,High (0.5-1.0),0.8398059600676486,0.06278160364599256
102,1,Low (0-0.5),0.7770475969388734,0.11018947633542849
103,1,High (0.5-1.0),0.8401461803672381,0.06501988962260778
104,2,Low (0-0.5),0.7774463510643428,0.11061008945762628
105,2,High (0.5-1.0),0.8401797814358514,0.0657739036746799
106,3,Low (0-0.5),0.7768110645909527,0.11126594067688352
107,3,High (0.5-1.0),0.8376852809975956,0.0687767813885647
108,4,Low (0-0.5),0.7766291461361353,0.11116372165976288
109,4,High (0.5-1.0),0.8374307800135207,0.06983280213800114
110,5,Low (0-0.5),0.7751561922975186,0.11222527423134375
111,5,High (0.5-1.0),0.835082705837347,0.07197398445454371
112,6,Low (0-0.5),0.7661988326165745,0.11227579815305606
113,6,High (0.5-1.0),0.8162356752268396,0.08523916611422629
114,7,Low (0-0.5),0.7646729692245015,0.11246394970418641
115,7,High (0.5-1.0),0.8116696142705092,0.08578068038093145
116,8,Low (0-0.5),0.7636573872182045,0.11172465834793271
117,8,High (0.5-1.0),0.8081815767552581,0.10076679952860441
118,9,Low (0-0.5),0.7639504463663369,0.10949861899033465
119,9,High (0.5-1.0),0.8058341202998315,0.10365398470260971
120,10,Low (0-0.5),0.7642842848347328,0.10891070580758315
121,10,High (0.5-1.0),0.8020285707859524,0.10676130162360971
122,11,Low (0-0.5),0.7647086306212907,0.10607483264098953
123,11,High (0.5-1.0),0.8015694846925183,0.10792195901143176
124,12,Low (0-0.5),0.7628529757286205,0.10787609030598876
