,Year,Reception Class,Similarity
326,31,Review & Catalogue,0.7796645245332656
327,31,"Review, No Catalogue",0.7438364315892808
328,32,No Review & No Catalogue,0.7266574068989626
329,32,"No Review, Catalogue",0.7591689003454418
330,32,Review & Catalogue,0.7821211723589938
331,32,"Review, No Catalogue",0.7414451898047575
332,33,No Review & No Catalogue,0.7256177752503373
333,33,"No Review, Catalogue",0.7604461751608661
334,33,Review & Catalogue,0.7775247593039848
335,33,"Review, No Catalogue",0.7427568001026615
336,34,No Review & No Catalogue,0.7259654788712709
337,34,"No Review, Catalogue",0.7597853665662602
338,34,Review & Catalogue,0.7808792532641262
339,34,"Review, No Catalogue",0.7434799221148546
340,35,No Review & No Catalogue,0.7245319179907556
341,35,"No Review, Catalogue",0.7612218899428456
342,35,Review & Catalogue,0.7835772631432458
343,35,"Review, No Catalogue",0.7353182918826583
344,36,No Review & No Catalogue,0.7203592604952513
345,36,"No Review, Catalogue",0.7609420302612979
346,36,Review & Catalogue,0.781948738253574
347,36,"Review, No Catalogue",0.7355817374731923
348,37,No Review & No Catalogue,0.7187133015229075
349,37,"No Review, Catalogue",0.7626577235352718
350,37,Review & Catalogue,0.7850883095955253
351,37,"Review, No Catalogue",0.7385854880993847
352,38,No Review & No Catalogue,0.7151266910118639
353,38,"No Review, Catalogue",0.7573864483092979
354,38,Review & Catalogue,0.7842002900196563
355,38,"Review, No Catalogue",0.7396275455597742
356,39,No Review & No Catalogue,0.7128744580526524
357,39,"No Review, Catalogue",0.7550037309191004
358,39,Review & Catalogue,0.7840400952757758
359,39,"Review, No Catalogue",0.737776627916525
360,40,No Review & No Catalogue,0.7126081618364067
361,40,"No Review, Catalogue",0.7513960132358248
362,40,Review & Catalogue,0.786765370519399
363,40,"Review, No Catalogue",0.7374211243918932
364,41,No Review & No Catalogue,0.7107983412602197
365,41,"No Review, Catalogue",0.7515154423380326
366,41,Review & Catalogue,0.7846950285645006
367,41,"Review, No Catalogue",0.7355866725338075
368,42,No Review & No Catalogue,0.7078038982186066
369,42,"No Review, Catalogue",0.7515487581256078
370,42,Review & Catalogue,0.7851118495621172
371,42,"Review, No Catalogue",0.7364458609381981
372,43,No Review & No Catalogue,0.7081218265368461
373,43,"No Review, Catalogue",0.7501488546295595
374,43,Review & Catalogue,0.784160420160415
375,43,"Review, No Catalogue",0.7298721189219871
376,44,No Review & No Catalogue,0.7084376557475859
377,44,"No Review, Catalogue",0.7471345471621615
378,44,Review & Catalogue,0.783797223760443
379,44,"Review, No Catalogue",0.7269769765041507
380,45,No Review & No Catalogue,0.7042648607516766
381,45,"No Review, Catalogue",0.7466613258367363
382,45,Review & Catalogue,0.7835078490213734
383,45,"Review, No Catalogue",0.7234692711438881
384,46,No Review & No Catalogue,0.7039009029601646
385,46,"No Review, Catalogue",0.7454385741350097
386,46,Review & Catalogue,0.7794429674684333
387,46,"Review, No Catalogue",0.7225862455128566
388,47,No Review & No Catalogue,0.7023288444479513
389,47,"No Review, Catalogue",0.7445086208099201
390,47,Review & Catalogue,0.778326467387128
391,47,"Review, No Catalogue",0.7177414031735511
392,48,No Review & No Catalogue,0.6998627141841116
393,48,"No Review, Catalogue",0.7428805298184359
394,48,Review & Catalogue,0.7743994144117279
395,48,"Review, No Catalogue",0.715138293236565
396,49,No Review & No Catalogue,0.7034466749228533
397,49,"No Review, Catalogue",0.7413058628109396
398,49,Review & Catalogue,0.7711235603132265
399,49,"Review, No Catalogue",0.7162131233872029
400,50,No Review & No Catalogue,0.7022703053600101
401,50,"No Review, Catalogue",0.7391925320069836
402,50,Review & Catalogue,0.7718544677334653
403,50,"Review, No Catalogue",0.7093147284706914
